TIME,behaviour
01:38:30,BEND
01:38:45,BEND
01:39:00,BEND
01:39:15,BEND
01:39:30,BEND
01:39:45,BEND
01:40:00,BEND
01:40:15,BEND
01:40:30,
01:40:45,
01:41:00,GB
01:41:15,
01:41:30,
01:41:45,
01:42:00,DAN_CIRC
01:42:15,DAN_CIRC
01:42:30,DAN_CIRC
01:42:45,DAN_CIRC
01:43:00,DAN_CIRC
01:43:15,DAN_CIRC
01:43:30,DAN_CIRC
01:43:45,BEND
01:44:00,BEND
01:44:15,GB
01:44:30,
01:44:45,
01:45:00,
01:45:15,CHASE_FLEE
01:45:30,CHASE_FLEE
01:45:45,
01:46:00,
01:46:15,
01:46:30,
01:46:45,CHASE_FLEE
01:47:00,CHASE_FLEE
01:47:15,CHASE_FLEE
01:47:30,CHASE_FLEE
01:47:45,CHASE_FLEE
01:48:00,CHASE_FLEE
01:48:15,CHASE_FLEE
01:48:30,CHASE_FLEE
01:48:45,CHASE_FLEE
01:49:00,CHASE_FLEE
01:49:15,CHASE_FLEE
01:49:30,CHASE_FLEE
01:49:45,CHASE_FLEE
01:50:00,CHASE_FLEE
01:50:15,CHASE_FLEE
01:50:30,CHASE_FLEE
01:50:45,CHASE_FLEE
01:51:00,CHASE_FLEE
01:51:15,CHASE_FLEE
01:51:30,CHASE_FLEE
01:51:45,CHASE_FLEE
01:52:00,
01:52:15,
01:52:30,BN
01:52:45,BN
01:53:00,BN
01:53:15,BN
01:53:30,BN
01:53:45,BN
01:54:00,BN
01:54:15,BN
01:54:30,BN
01:54:45,BN
01:55:00,BN
01:55:15,BN
01:55:30,BN
01:55:45,BN
01:56:00,BN
01:56:15,BN
01:56:30,BN
01:56:45,
01:57:00,NIP_CORE
01:57:15,NIP_CORE
01:57:30,NIP_CORE
01:57:45,NIP_CORE
01:58:00,
01:58:15,
01:58:30,
01:58:45,
01:59:00,
01:59:15,BEND_OPP
01:59:30,BEND_OPP
01:59:45,
02:00:00,
02:00:15,
02:00:30,
02:00:45,
02:01:00,
02:01:15,BEND_OPP
02:01:30,BEND_OPP
02:01:45,BEND_OPP
02:02:00,BEND_OPP
02:02:15,BEND_OPP
02:02:30,
02:02:45,ROLL
02:03:00,ROLL
02:03:15,ROLL
02:03:30,ROLL
02:03:45,ROLL
02:04:00,BEND_OPP
02:04:15,
02:04:30,
02:04:45,
02:05:00,ROLL
02:05:15,ROLL
02:05:30,BEND_OPP
02:05:45,BEND_OPP
02:06:00,BEND_OPP
02:06:15,BEND_OPP
02:06:30,BEND_OPP
02:06:45,
02:07:00,BEND
02:07:15,DAN_CIRC
02:07:30,DAN_CIRC
02:07:45,BEND
02:08:00,BEND
02:08:15,
02:08:30,
02:08:45,
02:09:00,
02:09:15,GB
02:09:30,
02:09:45,
02:10:00,SPA
02:10:15,
02:10:30,
02:10:45,
02:11:00,
02:11:15,
02:11:30,
02:11:45,
02:12:00,
02:12:15,
02:12:30,
02:12:45,
02:13:00,FAN
02:13:15,FAN
02:13:30,FAN
02:13:45,FAN
02:14:00,FAN
02:14:15,FAN
02:14:30,FAN
02:14:45,FAN
02:15:00,FAN
02:15:15,FAN
02:15:30,FAN
02:15:45,FAN
02:16:00,FAN
02:16:15,FAN
02:16:30,
02:16:45,
02:17:00,
02:17:15,
02:17:30,
02:17:45,
02:18:00,
02:18:15,INSF
02:18:30,INSF
02:18:45,INSF
02:19:00,INSF
02:19:15,
02:19:30,
02:19:45,
02:20:00,FAN
02:20:15,FAN
02:20:30,FAN
02:20:45,FAN
02:21:00,FAN
02:21:15,FAN
02:21:30,
02:21:45,
02:22:00,
02:22:15,
02:22:30,NIP_CORE
02:22:45,NIP_CORE
02:23:00,NIP_CORE
02:23:15,
02:23:30,
02:23:45,
02:24:00,
02:24:15,
02:24:30,FAN
02:24:45,FAN
02:25:00,FAN
02:25:15,FAN
02:25:30,FAN
02:25:45,FAN
02:26:00,FAN
02:26:15,FAN
02:26:30,FAN
02:26:45,FAN
02:27:00,FAN
02:27:15,FAN
02:27:30,FAN
02:27:45,FAN
02:28:00,FAN
02:28:15,FAN
02:28:30,FAN
02:28:45,FAN
02:29:00,FAN
02:29:15,FAN
02:29:30,FAN
02:29:45,FAN
02:30:00,FAN
02:30:15,FAN
02:30:30,
02:30:45,
02:31:00,INSF
02:31:15,INSF
02:31:30,NIP_CORE
02:31:45,NIP_CORE
02:32:00,NIP_CORE
02:32:15,NIP_CORE
02:32:30,NIP_CORE
02:32:45,NIP_CORE
02:33:00,INSF
02:33:15,INSF
02:33:30,INSF
02:33:45,INSF
02:34:00,
02:34:15,FAN
02:34:30,FAN
02:34:45,FAN
02:35:00,FAN
02:35:15,FAN
02:35:30,FAN
02:35:45,FAN
02:36:00,FAN
02:36:15,FAN
02:36:30,FAN
02:36:45,FAN
02:37:00,FAN
02:37:15,FAN
02:37:30,FAN
02:37:45,FAN
02:38:00,BEND
02:38:15,DAN_CIRC
02:38:30,DAN_CIRC
02:38:45,DAN_CIRC
02:39:00,DAN_CIRC
02:39:15,DAN_CIRC
02:39:30,BEND
02:39:45,BEND
02:40:00,BEND
02:40:15,BEND
02:40:30,
02:40:45,
02:41:00,SPA
02:41:15,
02:41:30,
02:41:45,
02:42:00,
02:42:15,
02:42:30,
02:42:45,
02:43:00,SPA
02:43:15,
02:43:30,
02:43:45,
02:44:00,
02:44:15,
02:44:30,
02:44:45,
02:45:00,
02:45:15,
02:45:30,
02:45:45,
02:46:00,FAN
02:46:15,FAN
02:46:30,FAN
02:46:45,FAN
02:47:00,FAN
02:47:15,FAN
02:47:30,FAN
02:47:45,FAN
02:48:00,FAN
02:48:15,FAN
02:48:30,FAN
02:48:45,FAN
02:49:00,FAN
02:49:15,FAN
02:49:30,FAN
02:49:45,FAN
02:50:00,FAN
02:50:15,FAN
02:50:30,FAN
02:50:45,FAN
02:51:00,FAN
02:51:15,FAN
02:51:30,FAN
02:51:45,FAN
02:52:00,FAN
02:52:15,FAN
02:52:30,FAN
02:52:45,INSF
02:53:00,INSF
02:53:15,NIP_CORE
02:53:30,NIP_CORE
02:53:45,NIP_CORE
02:54:00,INSF
02:54:15,
02:54:30,
02:54:45,
02:55:00,
02:55:15,FAN
02:55:30,FAN
02:55:45,FAN
02:56:00,FAN
02:56:15,BEND
02:56:30,DAN_CIRC
02:56:45,DAN_CIRC
02:57:00,DAN_CIRC
02:57:15,DAN_CIRC
02:57:30,DAN_CIRC
02:57:45,DAN_CIRC
02:58:00,DAN_CIRC
02:58:15,DAN_CIRC
02:58:30,DAN_CIRC
02:58:45,DAN_CIRC
02:59:00,DAN_CIRC
02:59:15,DAN_CIRC
02:59:30,DAN_CIRC
02:59:45,BEND
03:00:00,BEND
03:00:15,BEND
03:00:30,GB
03:00:45,
03:01:00,
03:01:15,SPA
03:01:30,
03:01:45,
03:02:00,
03:02:15,
03:02:30,
03:02:45,
03:03:00,
03:03:15,
03:03:30,
03:03:45,
03:04:00,
03:04:15,
03:04:30,SPA
03:04:45,
03:05:00,
03:05:15,
03:05:30,
03:05:45,
03:06:00,
03:06:15,
03:06:30,
03:06:45,GB
03:07:00,GB
03:07:15,GB
03:07:30,
03:07:45,
03:08:00,
03:08:15,
03:08:30,
03:08:45,
03:09:00,
03:09:15,LF
03:09:30,LF
03:09:45,LF
03:10:00,LF
03:10:15,
03:10:30,
03:10:45,
03:11:00,
03:11:15,ROLL
03:11:30,ROLL
03:11:45,ROLL
03:12:00,ROLL
03:12:15,
03:12:30,
03:12:45,
03:13:00,
03:13:15,
03:13:30,
03:13:45,
03:14:00,
03:14:15,
03:14:30,
03:14:45,FAN
03:15:00,FAN
03:15:15,FAN
03:15:30,FAN
03:15:45,FAN
03:16:00,FAN
03:16:15,FAN
03:16:30,FAN
03:16:45,FAN
03:17:00,FAN
03:17:15,FAN
03:17:30,FAN
03:17:45,
03:18:00,MAN
03:18:15,MAN
03:18:30,MAN
03:18:45,MAN
03:19:00,MAN
03:19:15,NIP_OUT
03:19:30,NIP_OUT
03:19:45,NIP_OUT
03:20:00,AM
03:20:15,AM
03:20:30,AM
03:20:45,AM
